Name,Price,Rate,Detail,URL
"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Ba...","₹1,999",4,"Magico Black, In the Ear",https://www.flipkart.com/oneplus-bullets-wireless-z2-fast-charge-30-hrs-battery-life-earphones-mic-bluetooth-headset/p/itm1b9cd98911a2a?pid=ACCGC4GN5SQR7ZCZ&lid=LSTACCGC4GN5SQR7ZCZQKBRXO&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&spotlightTagId=BestsellerId_0pm%2Ffcn&srno=s_1_11&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGC4GN5SQR7ZCZ.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
Ggkart BM K1 BLACK Bluetooth Headset Pack of 2 Bluetoot...,₹353,4.2,"Black, In the Ear",https://www.flipkart.com/ggkart-bm-k1-black-bluetooth-headset-pack-2/p/itm90eb64e998ea6?pid=ACCGF5VVF5P4YZ8V&lid=LSTACCGF5VVF5P4YZ8VZNN3PG&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_12&otracker=search&iid=en_B7FrEsQNcyhPgEuqwuxqxPGrr5nEv5aB0dwND9u9QVGW%2F8G4zRINdcT5TyYpSBSIA0EbQVnS3nF7LdYs6sp9%2BQ%3D%3D&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hour...,"₹1,399",4.2,"Navy Blue, In the Ear",https://www.flipkart.com/boat-rockerz-255-pro-asap-charge-upto-40-hours-playback-bluetooth-headset/p/itmc0a280218bd0d?pid=ACCFZ95MY8SGZQRT&lid=LSTACCFZ95MY8SGZQRTXMMJSQ&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_13&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCFZ95MY8SGZQRT.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hour...,"₹1,399",4.3,"Teal Green, In the Ear",https://www.flipkart.com/boat-rockerz-255-pro-asap-charge-upto-40-hours-playback-bluetooth-headset/p/itm569e59dc49154?pid=ACCFZ95MTQSX7NFD&lid=LSTACCFZ95MTQSX7NFDPI4HH2&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_14&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCFZ95MTQSX7NFD.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,₹499,4.1,"Green, In the Ear",https://www.flipkart.com/aroma-nb119-titanium-48-hours-playtime-bluetooth-neckband-headset/p/itmad2e355653856?pid=ACCGDSSU8BNHKN8G&lid=LSTACCGDSSU8BNHKN8GFNXZ1Y&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_15&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGDSSU8BNHKN8G.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
"WeCool N1 Neckband with 25 hours Playback,Fastcharging ...",₹664,4,"Black, In the Ear",https://www.flipkart.com/wecool-n1-neckband-25-hours-playback-fastcharging-13mm-driver-magnetic-earbuds-bluetooth-headset/p/itm84bdbe8ad2687?pid=ACCGHU82Y2GJVVYR&lid=LSTACCGHU82Y2GJVVYR8KOYIN&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_16&otracker=search&iid=en_B7FrEsQNcyhPgEuqwuxqxPGrr5nEv5aB0dwND9u9QVEpg2P7aVdcJ4UM2KnTBkXaQvtRQMWBc6WVA4YtKLZJLQ%3D%3D&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
boAt Rockerz 255 Pro+ with ASAP Charge and upto 40 Hour...,"₹1,399",4.1,"Active Black, In the Ear",https://www.flipkart.com/boat-rockerz-255-pro-asap-charge-upto-40-hours-playback-bluetooth-headset/p/itm96783da93efd9?pid=ACCFZ95M5JTZQH3F&lid=LSTACCFZ95M5JTZQH3FM4IG6H&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_17&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCFZ95M5JTZQH3F.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
realme Techlife Buds T100 with up to 28 Hours Playback ...,"₹1,499",4.1,"Black, True Wireless",https://www.flipkart.com/realme-techlife-buds-t100-up-28-hours-playback-ai-enc-calls-bluetooth-headset/p/itmb496242b3d1fb?pid=ACCGGZEH4K3ZCQFT&lid=LSTACCGGZEH4K3ZCQFTNO8HGO&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_18&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGGZEH4K3ZCQFT.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
boAt Rockerz 235 Pro with upto 20 Hours Playback and AS...,₹999,3.9,"Active Black, In the Ear",https://www.flipkart.com/boat-rockerz-235-pro-upto-20-hours-playback-asap-charge-bluetooth-headset/p/itm90630f89f2127?pid=ACCGBVMG5N6P7TEK&lid=LSTACCGBVMG5N6P7TEKLWQQ1S&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&spotlightTagId=BestvalueId_0pm%2Ffcn&srno=s_1_19&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGBVMG5N6P7TEK.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
Boult Audio ProBass Curve Neckband Bluetooth Headset,₹899,3.8,"Blue, Black, Grey, In the Ear",https://www.flipkart.com/boult-audio-probass-curve-neckband-bluetooth-headset/p/itm58f55fd0e09ea?pid=ACCFEZ99TZUFETH7&lid=LSTACCFEZ99TZUFETH7PFLQTO&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_20&otracker=search&iid=en_B7FrEsQNcyhPgEuqwuxqxPGrr5nEv5aB0dwND9u9QVHcTt5V%2FF6DLbf7CrI7zcJTJEv4vkCGU92DITcbM2ywTA%3D%3D&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
"boAt Airdopes 161 with ASAP Charge, 10mm Drivers and 17...","₹1,399",4.1,"Pebble Black, True Wireless",https://www.flipkart.com/boat-airdopes-161-asap-charge-10mm-drivers-17-hours-playback-bluetooth-headset/p/itm8a7493150ae4a?pid=ACCG6DS7WDJHGWSH&lid=LSTACCG6DS7WDJHGWSHM7AJ7S&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_21&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCG6DS7WDJHGWSH.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
boAt Rockerz 235 Pro with upto 20 Hours Playback and AS...,₹999,4,"Furious Blue, In the Ear",https://www.flipkart.com/boat-rockerz-235-pro-upto-20-hours-playback-asap-charge-bluetooth-headset/p/itm27ea35acb2cb6?pid=ACCGBVMGY9SPY7KZ&lid=LSTACCGBVMGY9SPY7KZNQZJJ6&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_22&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGBVMGY9SPY7KZ.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
TECHFIRE Fire 500v2 Neckband hi-bass Wireless Bluetooth...,₹445,4,"Black, In the Ear",https://www.flipkart.com/techfire-fire-500v2-neckband-hi-bass-wireless-bluetooth-headphone-headset/p/itme293721806e2c?pid=ACCG5EPZBRZDZFSZ&lid=LSTACCG5EPZBRZDZFSZY15YXG&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_23&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCG5EPZBRZDZFSZ.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
Boult Audio ProBass XCharge with Zen Tech ENC mic 20H P...,₹899,4,"Red, In the Ear",https://www.flipkart.com/boult-audio-probass-xcharge-zen-tech-enc-mic-20h-playtime-ultra-fast-charging-bluetooth-headset/p/itme1bbebb526a2e?pid=ACCG3HY9AHKZGWZ6&lid=LSTACCG3HY9AHKZGWZ6MDT23C&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_24&otracker=search&iid=en_B7FrEsQNcyhPgEuqwuxqxPGrr5nEv5aB0dwND9u9QVF9b%2FUsEqYyaGcJ7T3jNyCCYZpfyQ8WVc9CP5aE94hcMA%3D%3D&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
Aroma NB119D Dream 60 Hours Playing Time Fast Charging ...,₹431,4.1,"Black, Silver, In the Ear",https://www.flipkart.com/aroma-nb119d-dream-60-hours-playing-time-fast-charging-bluetooth-neckband-earphone-headset/p/itm40edb35582ebc?pid=ACCGFADS6AFFGGDN&lid=LSTACCGFADS6AFFGGDNR2QMEK&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&spotlightTagId=BestvalueId_0pm%2Ffcn&srno=s_1_25&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGFADS6AFFGGDN.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
Aroma NB119B Badshah 60 Hours Playing Time Fast Chargin...,₹431,3.6,"Black, Silver, In the Ear",https://www.flipkart.com/aroma-nb119b-badshah-60-hours-playing-time-fast-charging-bluetooth-neckband-earphone-headset/p/itm45cdcb3a95f2f?pid=ACCGDK6F9CCRGHKU&lid=LSTACCGDK6F9CCRGHKUQZCHM2&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_26&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGDK6F9CCRGHKU.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,₹499,3.9,"Black, In the Ear",https://www.flipkart.com/aroma-nb119-titanium-48-hours-playtime-bluetooth-neckband-headset/p/itm87f59e3fc076c?pid=ACCG4KZTF6JXYHRW&lid=LSTACCG4KZTF6JXYHRWTG00WW&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_27&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCG4KZTF6JXYHRW.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
"Microflash Touch, Voice Control-LED Display Earbuds Blu...",₹772,4.7,"Black, True Wireless",https://www.flipkart.com/microflash-touch-voice-control-led-display-earbuds-bluetooth-headset/p/itmfa8d9879a3d67?pid=ACCFZGA8VC4CZNUW&lid=LSTACCFZGA8VC4CZNUWVVGBZ2&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_28&otracker=search&iid=en_B7FrEsQNcyhPgEuqwuxqxPGrr5nEv5aB0dwND9u9QVGqcSrUGZ7NvuSU51XF3JsbJaovjWI8tDYtC3DZ6fQIQg%3D%3D&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
"boAt Airdopes 161 with ASAP Charge, 10mm Drivers and 17...","₹1,399",3.9,"Pearl White, True Wireless",https://www.flipkart.com/boat-airdopes-161-asap-charge-10mm-drivers-17-20-hours-playback-bluetooth-headset/p/itm44896573d8f03?pid=ACCG6DS7Z2Z8SEAF&lid=LSTACCG6DS7Z2Z8SEAFR1TGUA&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_29&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCG6DS7Z2Z8SEAF.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
DAYNEO TwsL21 Mini Wireless Bluetooth Headset / Earphon...,₹498,4.1,"Black, True Wireless",https://www.flipkart.com/dayneo-twsl21-mini-wireless-bluetooth-headset-earphone/p/itmac7e0ccb65926?pid=ACCFU3G2HEJYHKSS&lid=LSTACCFU3G2HEJYHKSSH2FQI2&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_30&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCFU3G2HEJYHKSS.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
Mivi Duopods F30 with 42 hours battery Fast Charging TW...,₹899,3.7,"White, True Wireless",https://www.flipkart.com/mivi-duopods-f30-42-hours-battery-fast-charging-tws-bluetooth-headset/p/itm3fae8e6ea32ab?pid=ACCG5JWZMRXSDBHG&lid=LSTACCG5JWZMRXSDBHGWCOMRV&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_31&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCG5JWZMRXSDBHG.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
"Ubon Classo Series CL-380 with In-built Mic , Upto 24 H...",₹619,3.9,"Blue, In the Ear",https://www.flipkart.com/ubon-classo-series-cl-380-in-built-mic-upto-24-hours-playtime-wireless-v5-0-bluetooth-headset/p/itm58dedacbcf885?pid=ACCGKWDCDMYPPGFR&lid=LSTACCGKWDCDMYPPGFRA5CLLV&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_32&otracker=search&iid=en_B7FrEsQNcyhPgEuqwuxqxPGrr5nEv5aB0dwND9u9QVHOn9Fh7GENfxbhFa7mBTxcPtbWC9SJdKeZoLFyb3d3SA%3D%3D&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
TECHFIRE Fire 500v2 Neckband hi-bass Wireless Bluetooth...,₹441,3.8,"Blue, In the Ear",https://www.flipkart.com/techfire-fire-500v2-neckband-hi-bass-wireless-bluetooth-headphone-headset/p/itm65b6ecc6401c2?pid=ACCG9KYX8FHKRZPP&lid=LSTACCG9KYX8FHKRZPPKHS937&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_33&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCG9KYX8FHKRZPP.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
"boAt Airdopes 161 with ASAP Charge, 10mm Drivers and 17...","₹1,399",3.9,"Cool Sapphire, True Wireless",https://www.flipkart.com/boat-airdopes-161-asap-charge-10mm-drivers-17-hours-playback-bluetooth-headset/p/itm0611c83d26e85?pid=ACCG6DS9ZH2ECDBG&lid=LSTACCG6DS9ZH2ECDBGQ2RYON&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&spotlightTagId=BestsellerId_0pm%2Ffcn&srno=s_1_34&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCG6DS9ZH2ECDBG.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
FD1 M19 Bluetooth 5.1 Wireless Earbuds Touch Waterproof...,₹709,3.9,"Black, True Wireless",https://www.flipkart.com/fd1-m19-bluetooth-5-1-wireless-earbuds-touch-waterproof-ip7x-led-digital-display-headset/p/itm7fcdd6d5119ac?pid=ACCGK7QJFMKT8AGY&lid=LSTACCGK7QJFMKT8AGYHD795T&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_35&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGK7QJFMKT8AGY.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
WeCool Moonwalk Mini in ear Bluetooth Earbuds with 16 h...,₹749,4,"Black, True Wireless",https://www.flipkart.com/wecool-moonwalk-mini-ear-bluetooth-earbuds-16-hours-playtime-battery-indicator-charging-case-headsets-mic-headset/p/itma7e1b974ca71f?pid=ACCG227W7RRYXVXZ&lid=LSTACCG227W7RRYXVXZSGSRGU&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_36&otracker=search&iid=en_B7FrEsQNcyhPgEuqwuxqxPGrr5nEv5aB0dwND9u9QVH9iEWB1nhMQXeUgTg2%2FeF2MfV7aeincB3Uu4FCseXy%2FQ%3D%3D&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
KRAZZY INDIA B11 Bluetooth Headset,₹270,3.7,"Red, Black, In the Ear",https://www.flipkart.com/krazzy-india-b11-bluetooth-headset/p/itm3cf0f19b339fb?pid=ACCG7QYHHFMNXPG2&lid=LSTACCG7QYHHFMNXPG2LWLJ0M&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_37&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCG7QYHHFMNXPG2.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
Mivi Duopods F30 with 42 hours battery Fast Charging TW...,₹999,4,"Black, True Wireless",https://www.flipkart.com/mivi-duopods-f30-42-hours-battery-fast-charging-tws-bluetooth-headset/p/itmd982356973d64?pid=ACCG5JXYXSETYYXG&lid=LSTACCG5JXYXSETYYXGVQWBY0&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_38&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCG5JXYXSETYYXG.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
Aroma NB119 Jersey - 48 Hours Playtime Fast Charging Wi...,₹399,1,"Black, In the Ear",https://www.flipkart.com/aroma-nb119-jersey-48-hours-playtime-fast-charging-wireless-bluetooth-neckband-headset/p/itm323fbc9035945?pid=ACCGEKKGCXH9TVBR&lid=LSTACCGEKKGCXH9TVBRQPLBBH&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_39&otracker=search&iid=d92f1dad-5dbd-4b71-8a70-f0b43405ad72.ACCGEKKGCXH9TVBR.SEARCH&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
"Boult Audio ProBass Fcharge with 40 hrs Playtime, ENC, ...","₹1,199",3.7,"Red, In the Ear",https://www.flipkart.com/boult-audio-probass-fcharge-40-hrs-playtime-enc-fast-charging-pairing-bluetooth-headset/p/itm532374d96cfde?pid=ACCGGKY5S8ESHZQK&lid=LSTACCGGKY5S8ESHZQKFSYIH7&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_40&otracker=search&iid=en_B7FrEsQNcyhPgEuqwuxqxPGrr5nEv5aB0dwND9u9QVF3lsjPJRzPt7MTLV%2FRkAKOdo5ULZ4BIQ%2FsOlsZ7RVBZQ%3D%3D&ssid=ikjnr9asmo0000001673109468257&qH=d3d3b01268520582
